eta0,A,steps,C,sum_eta,product,sum_finite,product_positive
0.04,2.5,20,0.2,0.044040004000000035,0.9911984695558412,True,True
0.04,2.6,20,0.2,0.044204999823727185,0.9911657354630488,True,True
0.04,2.7,20,0.2,0.0443703953352972,0.9911329222041382,True,True
0.04,2.8,20,0.2,0.044536205962725846,0.9911000267285465,True,True
0.04,2.9,20,0.2,0.0447024471448793,0.9910670459839525,True,True
0.04,3.0,20,0.2,0.04486913433272382,0.9910339769160283,True,True
0.04,3.1,20,0.2,0.045036282990667795,0.9910008164681751,True,True
0.04,3.2,20,0.2,0.04520390859799976,0.9909675615812367,True,True
0.04,3.3,20,0.2,0.04537202665042536,0.9909342091931979,True,True
0.04,3.4,20,0.2,0.04554065266170679,0.9909007562388578,True,True
0.04,3.5,20,0.2,0.04570980216540783,0.9908671996494861,True,True
0.0425,2.5,20,0.2,0.04706660866953205,0.9905944506314945,True,True
0.0425,2.6,20,0.2,0.04725360093575086,0.9905573716162598,True,True
0.0425,2.7,20,0.2,0.04744110269053603,0.9905201917592134,True,True
0.0425,2.8,20,0.2,0.047629133619591105,0.9904829071715794,True,True
0.0425,2.9,20,0.2,0.0478177134262426,0.990445513961655,True,True
0.0425,3.0,20,0.2,0.04800686183346953,0.9904080082344091,True,True
0.0425,3.1,20,0.2,0.04819659858608338,0.9903703860910522,True,True
0.0425,3.2,20,0.2,0.048386943453063457,0.9903326436285734,True,True
0.0425,3.3,20,0.2,0.048577916230053295,0.9902947769392488,True,True
0.0425,3.4,20,0.2,0.048769536742023355,0.9902567821101129,True,True
0.0425,3.5,20,0.2,0.04896182484610543,0.9902186552224006,True,True
0.045,2.5,20,0.2,0.050126582528763314,0.989983924202747,True,True
0.045,2.6,20,0.2,0.05033708609058999,0.9899422045815823,True,True
0.045,2.7,20,0.2,0.0505482301910909,0.9899003582729736,True,True
0.045,2.8,20,0.2,0.05076003960852992,0.9898583803868646,True,True
0.045,2.9,20,0.2,0.05097253914901076,0.9898162660284844,True,True
0.045,3.0,20,0.2,0.05118575364968329,0.9897740102977127,True,True
0.045,3.1,20,0.2,0.05139970798218724,0.9897316082884008,True,True
0.045,3.2,20,0.2,0.05161442705634158,0.989689055087642,True,True
0.045,3.3,20,0.2,0.05182993582408821,0.9896463457749932,True,True
0.045,3.4,20,0.2,0.05204625928369838,0.9896034754216438,True,True
0.045,3.5,20,0.2,0.052263422484250414,0.9895604390895325,True,True
0.0475,2.5,20,0.2,0.053220182443152846,0.989366849637683,True,True
0.0475,2.6,20,0.2,0.05345574432588773,0.9893201878494603,True,True
0.0475,2.7,20,0.2,0.05369210164860368,0.9892733688542318,True,True
0.0475,2.8,20,0.2,0.053929285224239565,0.9892263865770018,True,True
0.0475,2.9,20,0.2,0.05416732590864009,0.9891792349353893,True,True
0.0475,3.0,20,0.2,0.05440625460549727,0.9891319078386522,True,True
0.0475,3.1,20,0.2,0.05464610227165763,0.9890843991866397,True,True
0.0475,3.2,20,0.2,0.05488689992280837,0.9890367028686704,True,True
0.0475,3.3,20,0.2,0.05512867863955517,0.9889888127623332,True,True
0.0475,3.4,20,0.2,0.0553714695739052,0.988940722732208,True,True
0.0475,3.5,20,0.2,0.055615303956167934,0.988892426628505,True,True
0.05,2.5,20,0.2,0.05634768009185934,0.9887431835177266,True,True
0.05,2.6,20,0.2,0.05660988137426106,0.9886912717714983,True,True
0.05,2.7,20,0.2,0.05687305961075921,0.9886391670911024,True,True
0.05,2.8,20,0.2,0.057137252706759775,0.9885868620107978,True,True
0.05,2.9,20,0.2,0.05740249863234251,0.9885343490535597,True,True
0.05,3.0,20,0.2,0.057668835429709395,0.9884816207296101,True,True
0.05,3.1,20,0.2,0.05793630122118468,0.9884286695348413,True,True
0.05,3.2,20,0.2,0.05820493421778565,0.9883754879491253,True,True
0.05,3.3,20,0.2,0.05847477272838435,0.9883220684345084,True,True
0.05,3.4,20,0.2,0.058745855169479624,0.9882684034332856,True,True
0.05,3.5,20,0.2,0.059018220075599495,0.9882144853659498,True,True
0.0525,2.5,20,0.2,0.05950936200751242,0.9881128796421339,True,True
0.0525,2.6,20,0.2,0.059799819715637095,0.9880554035642577,True,True
0.0525,2.7,20,0.2,0.060091465429446496,0.9879976930536423,True,True
0.0525,2.8,20,0.2,0.06038434532939465,0.987939739024175,True,True
0.0525,2.9,20,0.2,0.06067850569148834,0.9878815323728813,True,True
0.0525,3.0,20,0.2,0.06097399289829215,0.9878230639777568,True,True
0.0525,3.1,20,0.2,0.06127085345074804,0.9877643246954404,True,True
0.0525,3.2,20,0.2,0.06156913398083872,0.9877053053587189,True,True
0.0525,3.3,20,0.2,0.06186888126512379,0.9876459967738622,True,True
0.0525,3.4,20,0.2,0.06217014223917802,0.9875863897177809,True,True
0.0525,3.5,20,0.2,0.06247296401296077,0.987526474935,True,True
0.055,2.5,20,0.2,0.06270552962277137,0.9874758890314342,True,True
0.055,2.6,20,0.2,0.0630258986385212,0.9874125273116335,True,True
0.055,2.7,20,0.2,0.06334769934055226,0.9873488832946041,True,True
0.055,2.8,20,0.2,0.06367098750163953,0.9872849460185974,True,True
0.055,2.9,20,0.2,0.06399581903319265,0.987220704497167,True,True
0.055,3.0,20,0.2,0.06432225000122276,0.9871561477160259,True,True
0.055,3.1,20,0.2,0.06465033664349165,0.9870912646296708,True,True
0.055,3.2,20,0.2,0.06498013538788473,0.9870260441577681,True,True
0.055,3.3,20,0.2,0.06531170287205097,0.9869604751812906,True,True
0.055,3.4,20,0.2,0.06564509596435152,0.9868945465383974,True,True
0.055,3.5,20,0.2,0.06598037178615968,0.9868282470200496,True,True
0.057499999999999996,2.5,20,0.2,0.06593649932440329,0.9868321599296844,True,True
0.057499999999999996,2.6,20,0.2,0.0662884743111605,0.9867625839656332,True,True
0.057499999999999996,2.7,20,0.2,0.06664216055664217,0.9866926708480629,True,True
0.057499999999999996,2.8,20,0.2,0.06699762488873216,0.9866224074567111,True,True
0.057499999999999996,2.9,20,0.2,0.06735493433315447,0.986551780635781,True,True
0.057499999999999996,3.0,20,0.2,0.06771415613625957,0.9864807771894624,True,True
0.057499999999999996,3.1,20,0.2,0.06807535778949744,0.98640938387712,True,True
0.057499999999999996,3.2,20,0.2,0.06843860705563795,0.9863375874081403,True,True
0.057499999999999996,3.3,20,0.2,0.06880397199679893,0.9862653744364245,True,True
0.057499999999999996,3.4,20,0.2,0.0691715210043428,0.9861927315545159,True,True
0.057499999999999996,3.5,20,0.2,0.06954132283070194,0.9861196452873491,True,True
0.06,2.5,20,0.2,0.06920260251565126,0.986181637805389,True,True
0.06,2.6,20,0.2,0.06958791986361614,0.9861055113453602,True,True
0.06,2.7,20,0.2,0.0699752673738494,0.9860289852256747,True,True
0.06,2.8,20,0.2,0.07036472454952998,0.9859520438548829,True,True
0.06,2.9,20,0.2,0.07075637117192592,0.9858746715912412,True,True
0.06,3.0,20,0.2,0.07115028733242401,0.9857968527364198,True,True
0.06,3.1,20,0.2,0.0715465534669306,0.9857185715287476,True,True
0.06,3.2,20,0.2,0.07194525039272896,0.9856398121359766,True,True
0.06,3.3,20,0.2,0.07234645934787813,0.9855605586475479,True,True
0.06,3.4,20,0.2,0.07275026203323885,0.9854807950663476,True,True
0.06,3.5,20,0.2,0.07315674065721194,0.9854005052999296,True,True
